Specific_Cell_Ontology_ID	Cell_Marker
CL:0000669	MCAM
CL:0000669	RGS5
CL:0000669	MME
CL:0000669	ALCAM
CL:0000669	ALPHA-SMA
CL:0000669	EMID1
CL:0000669	DES
CL:0000669	RGS5
CL:0000669	MCAM
CL:0000669	PDGFRB
CL:0000669	ALPL
CL:0000669	PDGFRALPHA
CL:0000669	PROCR
CL:0000669	PECAM1
CL:0000669	CD105
CL:0000669	ALPHA-SMA
CL:0000669	DES
CL:0000669	ABCC9
CL:0000669	MCAM
CL:0000669	COL1A1
CL:0000669	ALPHA-SMA
CL:0000669	RGS5
CL:0000669	COL4A1
CL:0000669	NOTCH3
CL:0000669	CSPG4
CL:0000669	PDGFRB
CL:0000669	CSPG4
CL:0000669	CXCR4
CL:0000669	VIMENTIN
CL:0000669	SOX17
CL:0000669	ALPHA-SMA
CL:0000669	PDGFRB
CL:0000669	THY1
CL:0000669	PDE5A
CL:0000669	RGS5
CL:0000669	CSPG4
CL:0000669	ALPL
CL:0000669	PDGFRB
CL:0000669	MCAM
CL:0000669	RGS5
CL:0000669	PDGFRB
CL:0000669	ALPHA-SMA
CL:0000669	MCAM
CL:0000669	MCAM
CL:0000669	CSPG4
CL:0000669	HSD11B1
CL:0000669	ADM
CL:0000669	STEAP4
CL:0000669	ALPHA-SMA
CL:0000669	THY1
CL:0000669	TEK
CL:0000669	PDGFRB
CL:0000669	CSPG4
CL:0000669	LHFP
CL:0000669	MCAM
CL:0000669	PDZD2
CL:0000669	VIMENTIN
CL:0000669	MCAM
CL:0000669	CSPG4
CL:0000669	KCNJ8
CL:0000669	PDGFRB
CL:0000669	PECAM1
CL:0000669	PDGFRB
CL:0000669	COL25A1
CL:0000669	RGS5
CL:0000669	CSPG4
CL:0000669	ANPEP
CL:0000669	SLC38A11
CL:0000669	KCNJ8
CL:0000669	ALPHA-SMA
CL:0000669	MYO1B
CL:0000669	FOXC1
CL:0000669	P2RY14
CL:0000669	ACKR3
CL:0000669	PDGFRB
CL:0000669	MCAM
CL:0000669	CSPG4
CL:0000669	RGS5
CL:0000669	SERPING1
CL:0000669	INPP4B
CL:0000669	RGS5
CL:0000669	GNB4
CL:0000669	MYO1B
CL:0000669	KCNJ8
CL:0000669	ZIC1
CL:0000669	ICAM1
CL:0000669	NCAM1
CL:0000669	PRRX1
CL:0000669	MXRA8
CL:0000669	CSPG4
CL:0000669	PDGFRB
CL:0000669	ALPHA-SMA
CL:0000669	COLEC11
CL:0000669	PDGFRB
CL:0000669	ANPEP
CL:0000669	PDGFRB
CL:0000669	RGS5
CL:0000669	VEGFA
CL:0000669	DES
CL:0000669	IFITM1
CL:0000669	ALPG
CL:0000669	NT5E
CL:0000669	MCAM
CL:0000669	CD105
CL:0000669	PLN
CL:0000669	VIMENTIN
CL:0000669	CSPG4
CL:0000669	RGS5
CL:0000669	ALPHA-SMA
CL:0000669	ALPL
CL:0000669	NRIP2
CL:0000669	MYO1B
CL:0000669	CSPG4
CL:0000669	PDGFRB
CL:0000669	ASPN
CL:0000669	NOTCH3
CL:0000669	REM1
CL:0000669	FOXC1
CL:0000669	MCAM
CL:0000669	RERGL
CL:0000669	TAGLN
CL:0000669	CSPG4
CL:0000669	PDGFRB
CL:0000669	ALPHA-SMA
CL:0000669	CSPG4
CL:0000669	LAMA5
CL:0000669	MCAM
CL:0000669	MYO1B
CL:0000669	NESTIN
CL:0000669	CD19
CL:0000669	SMA
CL:0000669	PDGFRALPHA
CL:0000669	KCNAB1
CL:0000669	CSPG4
CL:0000669	MYO1B
CL:0000669	CSPG4
CL:0000669	PTPRC
CL:0000669	KCNA5
CL:0000669	MCAM
CL:0000669	KCNJ8
CL:0000669	MCAM
CL:0000669	ALPHA-SMA
CL:0000669	MGP
CL:0000669	DES
